now,intensity,humidity,temperature,temperature_from_humidity,temperature_from_pressure,pressure,orientation_roll,orientation_pitch,orientation_yaw,compass,compass_raw_x,compass_raw_y,compass_raw_z,gyro_roll,gyro_pitch,gyro_yaw,gyro_raw_x,gyro_raw_y,gyro_raw_z,accelerometer_raw_x,accelerometer_raw_y,accelerometer_raw_z,accelerometer_roll,accelerometer_pitch,accelerometer_yaw
2023-05-31 14:32:11.304618,0.9055719999887515,40.5156364440918,33.78008270263672,33.78008270263672,32.73958206176758,1029.41064453125,1.215255431658995,358.95600195682556,176.81836628978098,176.81836628978098,-23.122493743896484,-0.9349930286407471,17.412487030029297,1.2163348149912685,358.9572468655235,176.81821602561925,0.00172409787774086,0.0006491562817245722,-0.0004312405362725258,0.018183445557951927,0.021122954785823822,0.9855100512504578,1.2177493044796959,358.95590569384694,176.81777889351238
2023-05-31 14:32:11.962883,0.9056240000754769,40.57851028442383,33.78008270263672,33.78008270263672,32.741668701171875,1029.416748046875,1.216958176474738,358.95589608889344,176.81777889351238,176.83387081919693,-41.90281677246094,-1.044237732887268,31.904075622558594,1.2168701310674683,358.9555674927613,176.84937534861285,0.00021588802337646484,-0.0011672625551000237,-0.0007348340004682541,0.019638117402791977,0.02136574685573578,0.9855100512504578,1.2178306264195013,358.95401010290885,176.8485693862908
2023-05-31 14:32:12.253455,0.9055095000585425,39.43108367919922,33.89004135131836,33.79841232299805,32.733333587646484,1029.4169921875,1.219010648320327,358.95095540752425,176.8485693862908,176.86460667046197,-46.278526306152344,-1.17548406124115,34.84119415283203,1.2185649784769834,358.948610091318,176.88183240754876,0.001779850572347641,-0.0002692148555070162,-0.0007394179701805115,0.018425889313220978,0.021608538925647736,0.982342004776001,1.220635166125732,358.94911477826463,176.88104010560502
2023-05-31 14:32:12.536157,0.905186500018317,40.135257720947266,33.743431091308594,33.743431091308594,32.73958206176758,1029.42138671875,1.220635166125732,358.94911477826463,176.88104010560502,176.8941677291898,-47.60232162475586,-1.2733763456344604,35.704193115234375,1.2202091330762526,358.9507308650553,176.90825157925835,-0.0012807399034500122,0.0011601205915212631,-0.0010140994563698769,0.01721366122364998,0.021122954785823822,0.9847790002822876,1.2193795852572133,358.952301595121,176.90698116407273
2023-05-31 14:32:12.813866,0.9045458999717084,40.77341842651367,33.81673812866211,33.81673812866211,32.73958206176758,1029.420166015625,1.2195361459995946,358.953077461922,176.90698116407273,176.912295051247,-47.02809524536133,-1.4031020402908325,36.26237487792969,1.2204138253079413,358.9516535809235,176.92162508965325,-0.00038850028067827225,-0.00042445771396160126,-0.00011494103819131851,0.01721366122364998,0.02063736878335476,0.9842915534973145,1.2199255735039911,358.95199412988666,176.92150214624817
2023-05-31 14:32:13.096133,0.9052490999929432,41.45244216918945,33.853389739990234,33.853389739990234,32.73125076293945,1029.418212890625,1.2199255735039911,358.95199412988666,176.92150214624817,176.929288561902,-47.386295318603516,-1.6429171562194824,35.97557830810547,1.22066152638706,358.9533938917797,176.93412433583438,0.0020606834441423416,0.001955860061571002,0.0005745561793446541,0.01745610684156418,0.021608538925647736,0.9833167791366577,1.2238712884101428,358.9545556642688,176.93478003399468
2023-05-31 14:32:13.373796,0.9058532999697491,40.30815887451172,33.761756896972656,33.761756896972656,32.733333587646484,1029.407470703125,1.224483550836211,358.95505693612085,176.93478003399468,176.93715693982585,-47.55244064331055,-1.7853602170944214,35.677825927734375,1.224071391608483,358.9561444303028,176.9384000342548,-0.0015628766268491745,0.0010338618885725737,0.0017309831455349922,0.01648632250726223,0.01990899071097374,0.9847790002822876,1.2215868035761852,358.95718325938685,176.94025784570906
2023-05-31 14:32:13.653434,0.9080719999255962,41.631629943847656,33.70677947998047,33.70677947998047,32.73749923706055,1029.430419921875,1.2230300012034678,358.9579481338522,176.94025784570906,176.94797595947117,-47.564971923828125,-1.4668525457382202,35.476253509521484,1.2224696055264093,358.9571725872163,176.9574016205258,-0.002080792561173439,-0.0017074464121833444,-0.0001532193273305893,0.018425889313220978,0.02136574685573578,0.9850226640701294,1.2203037952292806,358.9579229475296,176.95726501674238
2023-05-31 14:32:13.885071,0.9127543999748013,40.25157165527344,33.83506393432617,33.83506393432617,32.733333587646484,1029.425537109375,1.2203037952292806,358.9579229475296,176.95726501674238,176.96659505514862,-47.817665100097656,-1.3067880868911743,35.714561462402344,1.2207835092967683,358.95693406420384,176.978261018251,-0.0011446047574281693,0.0010378425940871239,-0.0007417118176817894,0.01697121374309063,0.0220941249281168,0.9842915534973145,1.2197496961328633,358.9578965872683,176.97760532009067
2023-05-31 14:32:14.116211,0.9134211000637151,40.86458206176758,33.83506393432617,33.83506393432617,32.71875,1029.436279296875,1.2190429849971787,358.95910499714284,176.97759165971235,176.98114335808074,-47.612152099609375,-1.6353833675384521,35.79597854614258,1.2183203723273324,358.9589212223655,176.9859108301214,-0.0034575732424855232,-0.00016965996474027634,0.00013973191380500793,0.018183445557951927,0.021122954785823822,0.984535276889801,1.215957126874508,358.95873243166795,176.98603377352646
2023-05-31 14:32:14.350936,0.913764800021454,40.60680389404297,33.78008270263672,33.78008270263672,32.72291564941406,1029.434326171875,1.2155392046746678,358.95806061853006,176.98603377352646,176.99533649117603,-48.17660903930664,-1.4475473165512085,36.26799774169922,1.2165606381207021,358.9578186804231,177.00405181255695,0.0017123911529779434,5.431147292256355e-05,9.57222655415535e-05,0.01721366122364998,0.021122954785823822,0.9830730557441711,1.2181192019119345,358.95786627830387,177.004133774827
