now,intensity,humidity,temperature,temperature_from_humidity,temperature_from_pressure,pressure,gyro_roll,gyro_pitch,gyro_yaw,gyro_raw_x,gyro_raw_y,gyro_raw_z
2023-06-05 09:56:10.995941,0.8894382000003134,36.589229583740234,32.42393112182617,32.42393112182617,31.285415649414062,1026.853515625,0.0,0.0,0.0,-0.0010529374703764915,-0.0029280821327120066,0.0011337604373693466
2023-06-05 09:56:11.568969,0.8894382000003134,36.322021484375,32.4605827331543,32.4605827331543,31.28333282470703,1026.859619140625,0.012396937584628613,359.9434539710992,2.406116842697289,0.0025605130940675735,-0.001349177910014987,0.0656048059463501
2023-06-05 09:56:11.703430,0.8855939999998554,37.6046257019043,32.405601501464844,32.405601501464844,31.287500381469727,1026.87060546875,0.035362290571536094,359.93690500029396,2.7322549604708133,0.0006632804870605469,-0.0013143024407327175,0.03444303199648857
2023-06-05 09:56:11.833989,0.8817862999999306,37.25568389892578,32.332298278808594,32.332298278808594,31.277084350585938,1026.86962890625,0.03036990253593279,359.92132657276693,2.976519173776571,6.580911576747894e-05,-0.002756851026788354,0.03512204438447952
2023-06-05 09:56:11.964677,0.8774058000037712,36.76527404785156,32.36894989013672,32.36894989013672,31.289583206176758,1026.877685546875,0.033110952832383446,359.92998927367677,2.7309984191069425,-0.00574365071952343,-0.004314680118113756,-0.11989394575357437
2023-06-05 09:56:12.099727,0.8774058000037712,36.71812057495117,32.4605827331543,32.4605827331543,31.285415649414062,1026.884033203125,0.08333924684899816,359.81360033558957,347.8408818716177,-0.01582292653620243,-0.03546880558133125,-3.232252359390259
2023-06-05 09:56:12.230051,0.8774058000037712,35.529823303222656,32.38727569580078,32.38727569580078,31.285415649414062,1026.8857421875,0.26867741715307264,359.3928674728853,289.047168449018,-0.07293882966041565,-0.103885717689991,-10.020492553710938
2023-06-05 09:56:12.360374,0.8774058000037712,36.4226188659668,32.240665435791016,32.240665435791016,31.25,1026.8759765625,359.9143815377013,358.6597300151367,219.8502282694845,-0.1517404317855835,0.0250068511813879,-10.020492553710938
2023-06-05 09:56:12.494663,0.8854744999960076,36.306304931640625,32.1673583984375,32.1673583984375,31.212499618530273,1026.87890625,0.516257287094475,357.15348984853665,148.28478657918916,0.028464803472161293,-0.19337747991085052,-10.020492553710938
2023-06-05 09:56:12.625517,0.9042426000016803,36.46034240722656,32.07572555541992,32.07572555541992,31.15416717529297,1026.87890625,3.308981833278115,358.31404549678416,78.82428305996322,-0.12241891771554947,-0.2654595673084259,-10.020492553710938
2023-06-05 09:56:12.756046,0.9183747000017775,35.54240036010742,32.0390739440918,32.0390739440918,31.087499618530273,1026.89306640625,2.9952795689924807,0.8102777209564833,9.44502720223552,-0.12150261551141739,-0.16039074957370758,-10.020492553710938
2023-06-05 09:56:12.890822,0.9183747000017775,36.359745025634766,31.965768814086914,31.965768814086914,31.041667938232422,1026.88916015625,0.42737542177529086,1.4881383510305177,297.9181088600038,-0.08821046352386475,-0.23919236660003662,-10.020492553710938
2023-06-05 09:56:13.021969,0.9189580999995997,37.6046257019043,31.709197998046875,31.709197998046875,30.99791717529297,1026.898681640625,359.0620218606698,359.3382272401857,228.3528029181532,-0.105925552546978,-0.23216742277145386,-10.020492553710938
2023-06-05 09:56:13.156421,0.9183747000017775,36.15226364135742,31.764177322387695,31.764177322387695,30.933334350585938,1026.8896484375,0.5481907159809589,357.39705225990514,156.84646968493516,-0.11631026118993759,-0.20101329684257507,-10.020492553710938
2023-06-05 09:56:13.286758,0.9189218000026358,36.47605895996094,31.690872192382812,31.690872192382812,30.897916793823242,1026.8955078125,2.8575575555590476,358.07294558205484,87.57880972673537,-0.11203420162200928,-0.20742738246917725,-10.020492553710938
2023-06-05 09:56:13.417269,0.9189218000026358,36.2214241027832,31.709197998046875,31.709197998046875,30.854167938232422,1026.8935546875,2.9107777492415523,0.5194168365549877,18.338028270466857,-0.10714728385210037,-0.1698591709136963,-10.020492553710938
2023-06-05 09:56:13.547642,0.9190051000027779,36.34402847290039,31.599241256713867,31.599241256713867,30.818750381469727,1026.894287109375,0.705632819569541,1.3556764370316408,309.0678360196323,-0.06499757617712021,-0.22392074763774872,-10.020492553710938
2023-06-05 09:56:13.682022,0.9191615000029287,35.87876892089844,31.580913543701172,31.580913543701172,30.78125,1026.89794921875,359.11110408029316,359.78766481331036,237.63604086819768,-0.09645713865756989,-0.2043730616569519,-10.020492553710938
2023-06-05 09:56:13.812305,0.9192811999989772,36.523216247558594,31.61756706237793,31.61756706237793,30.745834350585938,1026.904052734375,359.95216201205875,357.81478705642996,171.37458257787577,-0.10195492953062057,-0.18146561086177826,-10.020492553710938
2023-06-05 09:56:13.929455,0.9195521999979519,36.306304931640625,31.67254638671875,31.67254638671875,30.725000381469727,1026.89599609375,1.3669714354847262,357.8781400491896,122.97508347760004,-0.11142334342002869,-0.174135223031044,-10.020492553710938
2023-06-05 09:56:14.027117,0.9217609999959677,36.50749588012695,31.544261932373047,31.544261932373047,30.700000762939453,1026.89111328125,2.4580326836917332,359.17535796433214,59.90881181404327,-0.12302977591753006,-0.17260806262493134,-10.020492553710938
2023-06-05 09:56:14.127890,0.922875700002578,36.39118194580078,31.489282608032227,31.489282608032227,30.683334350585938,1026.8857421875,2.0975380740628107,0.5620199280595307,4.98164073294429,-0.09248651564121246,-0.1799384504556656,-10.020492553710938
2023-06-05 09:56:14.228820,0.922875700002578,36.97589874267578,31.47095489501953,31.47095489501953,30.649999618530273,1026.89208984375,0.8789583146295763,1.015964598943186,318.76463509373184,-0.10623098164796829,-0.1542821079492569,-10.020492553710938
