now,intensity,humidity,temperature,temperature_from_humidity,temperature_from_pressure,pressure,orientation_roll,orientation_pitch,orientation_yaw,compass,compass_raw_x,compass_raw_y,compass_raw_z,gyro_roll,gyro_pitch,gyro_yaw,gyro_raw_x,gyro_raw_y,gyro_raw_z,accelerometer_raw_x,accelerometer_raw_y,accelerometer_raw_z
2023-05-15 10:11:42.127660,0.7106523999946148,41.06577682495117,31.800830841064453,31.800830841064453,30.714584350585938,1016.380126953125,0.05642021734993498,359.56337612856254,169.417487493857,169.417487493857,-9.714986801147461,-1.823165774345398,19.309507369995117,0.05724587649681977,359.5655119233799,169.42061572049687,0.0013861246407032013,0.0016776989214122295,0.0016893614083528519,0.021335240453481674,0.008740533143281937,0.9852663278579712
2023-05-15 10:11:42.797855,0.7093704999997499,41.024906158447266,31.78250503540039,31.78250503540039,30.702083587646484,1016.38623046875,0.059778235832668114,357.53786898936283,169.52159323718632,169.54313565382856,-17.103546142578125,-3.0502140522003174,33.91829299926758,0.055463410566858,357.54615913146796,169.56958214629483,-0.005128588527441025,0.00620484072715044,0.004062920808792114,0.004848918411880732,-0.0012061294401064515,0.9864848256111145
2023-05-15 10:11:43.057013,0.7090006000007634,41.779380798339844,31.690872192382812,31.690872192382812,30.710416793823242,1016.39306640625,0.021848055934891718,356.8945484124782,169.58852909105246,169.63487875476017,-19.243253707885742,-2.928600549697876,37.34446716308594,0.021146665876756156,356.89936284206937,169.6881952114213,-0.004060827195644379,0.006242651492357254,0.0028955284506082535,0.00654603959992528,0.0014567554462701082,0.9881907105445862
2023-05-15 10:11:43.322092,0.7073070000169537,42.49927520751953,31.800830841064453,31.800830841064453,30.71666717529297,1016.401123046875,359.99910651243476,356.94944499071505,169.698467815933,169.75495348036898,-20.243331909179688,-2.86495304107666,38.45328903198242,359.9958620442837,356.95697890281303,169.81370676760943,-0.0009521786123514175,0.006345880217850208,0.0024856412783265114,0.008000715635716915,0.0012139629106968641,0.9859974384307861
2023-05-15 10:11:43.582634,0.7030185000085112,41.310977935791016,31.67254638671875,31.67254638671875,30.714584350585938,1016.39990234375,359.9691669586115,357.0025117185847,169.829115674377,169.89060103728545,-20.090503692626953,-2.833449602127075,38.57720947265625,359.96426616781497,357.0084565444835,169.94947726793094,0.0006824266165494919,0.0063753556460142136,0.0026429370045661926,0.007273377384990454,0.0009711703169159591,0.9852663278579712
2023-05-15 10:11:43.846083,0.7092140000177096,40.77027130126953,31.819156646728516,31.819156646728516,30.71666717529297,1016.39697265625,359.9429936937223,357.0436305246052,169.96647077858594,170.01739666903757,-20.149229049682617,-2.914966344833374,38.219947814941406,359.9430974739111,357.0483755850877,170.0695929746748,-0.0013856496661901474,0.004525536205619574,0.003115106374025345,0.01309207919985056,0.0019423406338319182,0.9859974384307861
2023-05-15 10:11:44.106342,0.7061032000146952,40.49363327026367,31.745851516723633,31.819156646728516,30.706249237060547,1016.388427734375,359.92959441670564,357.0930448088161,170.08207856047758,170.13094173379986,-20.380233764648438,-2.9953484535217285,38.290042877197266,359.92920088708564,357.09858814765784,170.17700452956242,-0.0015967059880495071,0.005126601085066795,0.0005845241248607635,0.01600143127143383,0.004127473570406437,0.9862411618232727
2023-05-15 10:11:44.372073,0.706462700009979,40.974609375,31.855810165405273,31.855810165405273,30.704166412353516,1016.389892578125,359.923948351552,357.14356302235166,170.18630724721197,170.22149638181588,-20.228492736816406,-3.147440195083618,39.1951904296875,359.9266783194663,357.1480807656008,170.25944491284446,-0.0013156216591596603,0.003571747336536646,0.00043072178959846497,0.018425889313220978,0.007526569999754429,0.9906277060508728
2023-05-15 10:11:44.631290,0.7080415000027642,40.36159896850586,31.819156646728516,31.819156646728516,30.702083587646484,1016.394775390625,359.9217553205498,357.2099306898562,170.28175231067374,170.32685887995248,-20.56252098083496,-2.9438211917877197,39.2432861328125,359.91865879025653,357.2149195027147,170.377579864729,0.0011184588074684143,0.004050832707434893,0.0018025506287813187,0.018183445557951927,0.008254947140812874,0.9855100512504578
2023-05-15 10:11:44.894739,0.7080415000027642,42.05602264404297,31.764177322387695,31.764177322387695,30.700000762939453,1016.399169921875,359.9115749569424,357.24930544976087,170.46940492793067,170.51496228969464,-20.10015296936035,-2.8666117191314697,39.28205108642578,359.9110160220187,357.25528229217144,170.58181618129072,0.008299602195620537,0.005788830108940601,0.016208840534090996,0.011879850178956985,0.016509894281625748,0.9928209781646729
2023-05-15 10:11:45.156224,0.7034194999969259,40.58479690551758,31.910789489746094,31.910789489746094,30.706249237060547,1016.39697265625,359.94680728715673,357.3619877762536,170.6115275041803,170.6383564872401,-20.190359115600586,-3.12052845954895,38.88100051879883,359.94481712411203,357.36413885895536,170.66619633829706,-0.001528024673461914,0.0020843949168920517,0.005235365591943264,0.012364741414785385,0.002185133285820484,0.9850226640701294
2023-05-15 10:11:45.384375,0.7110168999824964,40.977752685546875,31.764177322387695,31.764177322387695,30.704166412353516,1016.396484375,359.6528952291869,357.36586241450374,171.52785202285085,171.55259096802465,-20.29773712158203,-3.1836695671081543,39.433250427246094,359.6526226085895,357.3722266567063,171.67328041065878,0.015212932601571083,-0.0022703646682202816,0.14837835729122162,-0.0007405069191008806,-0.010131487622857094,0.9855100512504578
